файл;строка;ключ;было;стало;тип
00_ef_gui;51;EF_gold_gui_room;Золото хранится в #v [GetPlayer.MakeScope.ScriptValue('EF_gold_gui_room')] #! хранилище;Золото хранится в #v [GetPlayer.MakeScope.ScriptValue('EF_gold_gui_room')] #! хранилищах;A/число
00_ef_gui;54;EF_silver_gui_room;Серебро хранится в #v [GetPlayer.MakeScope.ScriptValue('EF_silver_gui_room')] #! хранилище;Серебро хранится в #v [GetPlayer.MakeScope.ScriptValue('EF_silver_gui_room')] #! хранилищах;A/число
00_ef_gui;74;metal_barometre_5;#gold Золото @gold!#! слегка дорогое — #gray Серебро @silver!#! немного слабое;#gold Золото @gold!#! слегка дорогое — #gray Серебро @silver!#! слегка слабое;C/параллелизм
00_ef_gui;181;(raw);"  money_value_in_paper_no_bc_top_bar_for_list:0 ""@uni! = #b [Country.MakeScope.ScriptValue('money_value_rapported_inflation')|D3]#!";"  money_value_in_paper_no_bc_top_bar_for_list:0 ""@uni! = #b [Country.MakeScope.ScriptValue('money_value_rapported_inflation')|D3]#!""";A/незакрытая кавычка
00_ef_gui;251;concept_building_urban_center_lvl_by_base_rate;Максимальный уровень Частного строительного сектора;Максимальный уровень частного строительного сектора;A/регистр
00_ef_gui;270;private_bank_title;[concept_investment_pool] - Частный банк;[concept_investment_pool] — Частный банк;A/тире
00_ef_gui;350;alert_buy_sell_groceries_order_name;Выполняется заявка на покупку/продажу бакалеи @groceries!;Выполняется заявка на покупку/продажу продуктов @groceries!;C/термин
00_ef_gui;362;alert_buy_sell_dye_order_name;Выполняется заявка на покупку/продажу красителя @dye!;Выполняется заявка на покупку/продажу красителей @dye!;C/термин
00_ef_gui;515;GDP_var_year_1;Изменение ВВП - 1 год;Изменение ВВП — 1 год;A/тире
00_ef_gui;516;GDP_var_year_5;Изменение ВВП - 5 лет;Изменение ВВП — 5 лет;A/тире
00_ef_gui;517;GDP_var_year_10;Изменение ВВП - 10 лет;Изменение ВВП — 10 лет;A/тире
00_ef_gui;523;national_capacity_no_formated;Национальный потенциал;Национальный капитал;C/nat. capacity
00_ef_gui;543;chartered_c;Преф. компания;Чартерная комп.;A/смысл
00_ef_gui;569;current_monetary_policy;Текущая политика:;Текущая денежная политика:;A/потерян фрагмент
00_ef_gui;582;extreme_weak_currency_solution_count_player_2;#T [GetPlayer.MakeScope.ScriptValue('extreme_weak_currency_solution_count_sc')|D]#! лет(года);#T [GetPlayer.MakeScope.ScriptValue('extreme_weak_currency_solution_count_sc')|D]#! лет(года) — НВ: [GetPlayer.MakeScope.Var('new_currency_count').GetValue|D];A/потерян фрагмент
00_ef_gui;596;gold_reserves_var;Государственная [concept_government_treasury];[concept_government_treasury] страны;A/дублирование слова
00_ef_gui;598;central_bank_metal_stacked_per_month;[GetPlayer.GetCustom('monetary_system_name')] доход в месяц;[GetPlayer.GetCustom('monetary_system_name')]: накоплено за месяц;A/смысл
00_ef_gui;601;delta_value;Баланс платежей;Платёжный баланс;C/баланс
00_ef_gui;602;delta_value_small;Баланс платежей;Платёжный баланс;C/баланс
00_ef_gui;603;budget_panel_desc_reserve_currency;В XIX веке термин 'резервная валюта' относился к широко принятой иностранной валюте, хранимой правительствами и центральными банками в качестве резерва для международных транзакций и поддержания эконом. стабильности.   ;В XIX веке термин «резервная валюта» относился к широко принятой иностранной валюте, хранимой правительствами и центральными банками в качестве резерва для международных транзакций и поддержания эконом. стабильности.   ;A/кавычки
00_ef_gui;621;gold_lent_to_foreign_countries;Иностранные инвестиции в долг;Инвестиции во внешний долг;C/долг
00_ef_gui;638;no_monetary_policy;Нет монетарной политики;Принять «[GetLawType('law_no_monetary_policy').GetName]»;A/потерян фрагмент
00_ef_gui;680;inflation_value_predicted_devaluation;([GetPlayer.MakeScope.ScriptValue('inflation_value_predicted_devaluation')|%|=-]/#b  [GetPlayer.MakeScope.Var('devaluation_time').GetValue]#! Years);([GetPlayer.MakeScope.ScriptValue('inflation_value_predicted_devaluation')|%|=-]/#b  [GetPlayer.MakeScope.Var('devaluation_time').GetValue]#! лет);A/непереведено
00_ef_gui;682;inflation_value_predicted_revaluation;([GetPlayer.MakeScope.ScriptValue('inflation_value_predicted_revaluation')|%|=-]/#b   [GetPlayer.MakeScope.Var('revaluation_time').GetValue]#! Years);([GetPlayer.MakeScope.ScriptValue('inflation_value_predicted_revaluation')|%|=-]/#b   [GetPlayer.MakeScope.Var('revaluation_time').GetValue]#! лет);A/непереведено
00_ef_gui;702;you_need_monetary_policy_tools;Необходимы исследования инструментов монетарной политики;Требуется технология [GetTechnology('monetary_policy_tools').GetName|l] и принятый закон «[GetLawType('law_large_monetary_policy').GetName]»;A/потерян фрагмент
00_ef_gui;739;politic_monetary_systeme;@politic_monetary_systeme! Монетарная система;@politic_monetary_systeme! Денежная система;C/monetary system
00_ef_gui;814;money_value_currency_reference_1;Стоимость глобальной резервной валюты;Стоимость глобального денежного эталона;C/термин
00_ef_gui;826;money_value_target_with_the_reference_currency_set;Установить паритет с глобальной резервной валютой;Установить паритет с эталонной валютой;C/термин
00_ef_gui;1274;has_tech_national_stockpile_and_subject;Открывается при выполнении следующих условий:\n- Имеет собственный [concept_market] \n- Изучено Национальное Хранилище;Открывается при выполнении следующих условий:\n- Имеет собственный [concept_market] \n- Изучено Национальный резерв;C/нац. резерв
00_ef_gui;1276;not_has_tech_national_stockpile_and_subject;Открывается при выполнении следующих условий:\n- Имеет собственный [concept_market] \n- Изучено Национальное Хранилище;Открывается при выполнении следующих условий:\n- Имеет собственный [concept_market] \n- Изучено Национальный резерв;C/нац. резерв
00_ef_gui;1278;market_owner_no_currency_exchange_panel_visibility;Открывается, если владелец рынка выполняет условия:\n- Имеет собственный [concept_market] \n- Принят закон [GetLawType('law_silver_standard').GetName], [GetLawType('law_bimetallism_standard').GetName],\n [GetLawType('law_gold_standard').GetName] или [GetLawType('law_gold_exchange_standard').GetName]\n - Не принят закон [GetLawType('law_isolationism').GetName]\n- [GetStaticModifier('has_central_bank').GetName]\n- Нет модификатора Контроль валютного рынка;Открывается, если владелец рынка выполняет условия:\n- Имеет собственный [concept_market] \n- Принят закон [GetLawType('law_silver_standard').GetName], [GetLawType('law_bimetallism_standard').GetName],\n [GetLawType('law_gold_standard').GetName] или [GetLawType('law_gold_exchange_standard').GetName]\n - Не принят закон [GetLawType('law_isolationism').GetName]\n- [GetStaticModifier('has_central_bank').GetName]\n- Нет модификатора Валютный контроль;C/валютный контроль
00_ef_gui;1279;player_no_currency_exchange_panel_visibility;Открывается, если игрок выполняет условия:\n- Имеет собственный [concept_market] \n- Принят закон [GetLawType('law_silver_standard').GetName], [GetLawType('law_bimetallism_standard').GetName],\n [GetLawType('law_gold_standard').GetName] или [GetLawType('law_gold_exchange_standard').GetName]\n - Не принят закон [GetLawType('law_isolationism').GetName]\n- [GetStaticModifier('has_central_bank').GetName]\n- Нет модификатора Контроль валютного рынка;Открывается, если игрок выполняет условия:\n- Имеет собственный [concept_market] \n- Принят закон [GetLawType('law_silver_standard').GetName], [GetLawType('law_bimetallism_standard').GetName],\n [GetLawType('law_gold_standard').GetName] или [GetLawType('law_gold_exchange_standard').GetName]\n - Не принят закон [GetLawType('law_isolationism').GetName]\n- [GetStaticModifier('has_central_bank').GetName]\n- Нет модификатора Валютный контроль;C/валютный контроль
00_ef_gui;1322;FP_TITEL;ФС;ФП;A/аббревиатура
00_ef_gui;1359;currency_GOODS;Денежная масса в обращении;Валюта в обращении;C/обращение
00_ef_gui;1364;trade_balance_fixe;Текущий счет;Текущий счёт;A/ё
