файл;строка;ключ;было;стало
00_ef_gui;25;leading_producer_of_oil;Валюта, номинированная в нефти;Валюта, номинированная в ГСМ
00_ef_gui;125;com_topbar_element_inflation;com_topbar_element_inflation;Инфляция
00_ef_gui;133;com_topbar_element_law_fiat_standard;com_topbar_element_law_fiat_standard;Фиатный стандарт
00_ef_gui;140;com_topbar_element_law_silver_standard;com_topbar_element_law_silver_standard;Серебряный стандарт
00_ef_gui;147;com_topbar_element_law_bimetallism_standard;com_topbar_element_law_bimetallism_standard;Биметаллический стандарт
00_ef_gui;154;com_topbar_element_law_gold_standard;com_topbar_element_law_gold_standard;Золотой стандарт
00_ef_gui;161;com_topbar_element_law_gold_exchange_standard;com_topbar_element_law_gold_exchange_standard;Золотой обменный стандарт
00_ef_gui;169;com_topbar_element_law_subject;com_topbar_element_law_subject;Валюта субъекта
00_ef_gui;316;alert_fso_alert_hint;Вы можете выбрать вариант в Управлении финансовой стабильности (FSO), чтобы повлиять на ваш [GetBuildingType('building_financial_centre').GetName] или ваш [GetBuildingType('building_ef_private_construction').GetName].;Вы можете выбрать вариант в Управлении финансовой стабильности (FSO), чтобы повлиять на ваши [GetBuildingType('building_financial_centre').GetName] или ваши [GetBuildingType('building_ef_private_construction').GetName].
00_ef_gui;338;alert_buy_sell_aeroplanes_order_name;Выполняется заявка на покупку/продажу самолётов @aeroplanes!;Выполняется заявка на покупку/продажу аэропланов @aeroplanes!
00_ef_gui;383;alert_buy_sell_oil_order_name;Выполняется заявка на покупку/продажу нефти @oil!;Выполняется заявка на покупку/продажу ГСМ @oil!
00_ef_gui;426;alert_store_release_aeroplanes_name;Накопление/расходование резерва самолётов @aeroplanes! подходит к концу;Накопление/расходование резерва аэропланов @aeroplanes! подходит к концу
00_ef_gui;427;alert_store_release_aeroplanes_hint;До окончания периода исполнения заявки на накопление/расходование резерва самолётов осталось 3 месяца.;До окончания периода исполнения заявки на накопление/расходование резерва аэропланов осталось 3 месяца.
00_ef_gui;471;alert_store_release_oil_name;Накопление/расходование резерва нефти @oil! подходит к концу;Накопление/расходование резерва ГСМ @oil! подходит к концу
00_ef_gui;472;alert_store_release_oil_hint;До окончания периода исполнения заявки на накопление/расходование резерва нефти осталось 3 месяца.;До окончания периода исполнения заявки на накопление/расходование резерва ГСМ осталось 3 месяца.
00_ef_gui;1609;aeroplanes_global_price;Мировая цена на самолёты;Мировая цена на аэропланы
00_ef_gui;1610;aeroplanes_global_offer;Мировое предложение самолётов;Мировое предложение аэропланов
00_ef_gui;1611;aeroplanes_global_demande;Мировой спрос на самолёты;Мировой спрос на аэропланы
00_ef_gui;1669;oil_global_price;Мировая цена на нефть;Мировая цена на ГСМ
00_ef_gui;1670;oil_global_offer;Мировое предложение нефти;Мировое предложение ГСМ
00_ef_gui;1671;oil_global_demande;Мировой спрос на нефть;Мировой спрос на ГСМ
00_ef_gui;1724;aeroplanes_name;@aeroplanes! самолёты;@aeroplanes! аэропланы
00_ef_gui;1728;groceries_name;@groceries! бакалея;@groceries! продукты
00_ef_gui;1732;dye_name;@dye! краситель;@dye! красители
00_ef_gui;1739;oil_name;@oil! нефть;@oil! ГСМ
01_ef_building;25;building_financial_centre;Финансовый центр;Финансовые центры
01_ef_building;75;building_manufacturing_company;Производственная компания;Производственные компании
01_ef_building;76;building_mining_company;Горнодобывающая компания;Горнодобывающие компании
01_ef_building;77;building_railway_company;Железнодорожная компания;Железнодорожные компании
01_ef_building;81;building_ef_private_construction;Частный строительный сектор;Частные строительные сектора
01_ef_building;86;building_silver_mine;Серебряный рудник;Серебряные рудники
01_ef_company;83;company_CassaDiRisparmioDiTorino;Cassa di Risparmio di;Cassa di Risparmio di Torino
